	ckiptagger	pkuseg	fastHan	PyNLPIR	stanza	spacy	ltp	jiagu	lac	snownlp	target	char	sent
22625	Na	v	VV	v	VERB	VERB	v	v	v	v	VV	松	612
22626	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	612
22627	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	但	613
22628	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	是	613
22629	Neqa	r	PN	rz	DET	PRON	r	r	r	r	DT	一	613
22630	Neqa	r	PN	rz	DET	PRON	r	r	r	r	DT	切	613
22631	D	d	AD	d	ADV	ADV	d	d	d	d	AD	都	613
22632	P	v	VV	p	ADP	VERB	v	p	p	p	P	在	613
22633	Ncd	f	NN	f	NOUN	NOUN	nd	nd	f	f	LC	前	613
22634	Ncd	f	NN	f	NOUN	NOUN	nd	nd	f	f	LC	面	613
22635	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	613
22636	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	时	613
22637	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	间	613
22638	Na	v	VV	v	ADV	VERB	v	v	v	v	VV	来	613
22639	VJ	v	DER	v	VERB	VERB	v	v	v	v	DER	得	613
22640	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	及	613
22641	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	613
22642	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	时	613
22643	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	间	613
22644	FW	d	AD	d	ADV	ADV	d	d	d	d	AD	还	613
22645	FW	v	VV	v	ADV	ADV	v	v	v	v	VV	来	613
22646	VJ	v	DER	v	PART	ADV	v	v	v	v	DER	得	613
22647	VJ	v	VV	v	CCONJ	ADV	v	v	c	v	VV	及	613
22648	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	实	613
22649	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	现	613
22650	Neqa	r	PN	rz	NOUN	PRON	r	r	r	r	DT	一	613
22651	Neqa	r	PN	rz	NOUN	PRON	r	r	r	r	DT	切	613
22652	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	613
22653	Neqa	r	PN	rz	DET	PRON	r	r	r	r	DT	一	613
22654	Neqa	r	PN	rz	DET	PRON	r	r	r	r	DT	切	613
22655	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	613
22656	VH	v	VV	v	AUX	VERB	v	vu	v	v	VV	会	613
22657	VH	p	P	p	VERB	ADP	p	p	p	a	P	随	613
22658	VH	n	NN	n	NOUN	NOUN	n	n	n	a	NN	时	613
22659	VH	n	NN	n	NOUN	NOUN	n	n	n	a	NN	间	613
22660	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	613
22661	VA	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	消	613
22662	VA	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	逝	613
22663	Cbb	c	MSP	cc	ADV	PART	c	c	c	c	CC	而	613
22664	VA	i	AD	vg	VERB	VERB	v	v	v	vn	AD	循	613
22665	VA	i	AD	n	VERB	VERB	v	v	v	vn	AD	序	613
22666	VA	v	VV	vi	VERB	VERB	v	v	v	vn	VV	到	613
22667	FW	v	VV	vi	VERB	VERB	v	v	v	vn	VV	来	613
22668	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	613
22669	Nb	nr	NR	nrf	PROPN	PROPN	nh	v	PER	v	NR	托	614
22670	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	Rg	NR	茨	614
22671	Nb	nr	NR	nrf	PROPN	NOUN	nh	n	PER	Rg	NR	基	614
22672	D	d	AD	d	VERB	NOUN	d	a	d	d	AD	久	614
22673	D	d	AD	d	VERB	NOUN	d	a	d	d	AD	久	614
22674	D	d	AD	d	AUX	ADV	d	vu	v	d	AD	不	614
22675	D	v	VV	v	AUX	VERB	d	vu	v	v	VV	能	614
22676	VC	v	VV	v	VERB	VERB	v	v	v	vn	VV	原	614
22677	VC	v	VV	v	VERB	VERB	v	v	v	vn	VV	谅	614
22678	Nh	r	PN	rr	PRON	PRON	r	r	v	r	PN	自	614
22679	Nh	r	PN	rr	PRON	PRON	r	r	v	r	PN	己	614
22680	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	614
22681	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	614
22682	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	看	614
22683	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	614
22684	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	她	614
22685	Neu	m	CD	m	NUM	NUM	m	i	m	m	CD	四	614
22686	Nf	q	M	qt	NOUN	NUM	q	i	m	q	M	年	614
22687	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	614
22688	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	却	614
22689	Na	d	AD	d	VERB	ADV	d	d	v	d	VE	没	614
22690	V_2	d	AD	d	VERB	ADV	d	d	v	d	VE	有	614
22691	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	看	614
22692	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	透	614
22693	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	她	614
22694	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	614
22695	I	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	615
22696	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	615
22697	FW	d	AD	d	VERB	ADV	d	d	d	d	AD	许	615
22698	SHI	v	VC	vshi	VERB	VERB	v	vl	v	v	VC	是	615
22699	FW	r	VA	rzv	PRON	VERB	r	r	r	r	VA	这	615
22700	FW	r	VA	rzv	PRON	VERB	r	r	r	r	VA	样	615
22701	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	615
22702	Nh	r	PN	rr	ADV	PRON	r	r	r	r	PN	我	615
22703	D	d	AD	d	ADV	ADV	d	d	d	d	AD	早	615
22704	D	d	AD	d	ADV	ADV	d	d	d	d	AD	就	615
22705	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	看	615
22706	VE	v	VV	vf	VERB	VERB	v	v	v	v	VV	出	615
22707	FW	r	DT	rzv	DET	DET	r	r	r	r	DT	这	615
22708	Neu	m	CD	mq	NUM	ADV	m	mq	r	m	CD	一	615
22709	VH	m	NN	mq	NOUN	ADV	m	mq	r	q	NN	点	615
22710	T	y	SP	y	PART	PART	u	u	xc	u	SP	了	615
22711	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	j	PU	，	615
22712	P	w	PU	wyy	PUNCT	PUNCT	wp	w	w	j	PU	”	615
22713	Nb	nr	NR	nsf	PROPN	PROPN	nh	nh	PER	j	NR	阿	615
22714	Nb	nr	NR	nsf	PROPN	PROPN	nh	nh	PER	vd	NR	格	615
22715	Nb	nr	NR	nsf	PROPN	PROPN	nh	nh	PER	vd	NR	拉	615
22716	Nb	nr	NR	n	PROPN	PROPN	nh	n	PER	vd	NR	娅	615
22717	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	回	615
22718	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	答	615
22719	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	说	615
22720	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	615
22721	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	您	616
22722	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	616
22723	Na	i	NN	n	NOUN	NOUN	n	n	n	Ng	NN	公	616
22724	Na	i	NN	n	NOUN	NOUN	n	n	n	Ag	NN	爵	616
22725	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	616
22726	D	d	AD	v	ADV	ADV	v	d	d	v	AD	好	616
22727	D	d	AD	v	ADV	ADV	v	d	d	v	AD	像	616
22728	VHC	v	VV	vi	VERB	VERB	v	v	v	v	VV	停	616
22729	P	p	VV	p	VERB	VERB	p	v	p	p	VV	在	616
22730	FW	v	VV	v	PROPN	VERB	v	v	v	v	VV	讲	616
22731	Nc	ns	NR	nsf	PROPN	PROPN	ns	ns	LOC	ns	NR	瑞	616
22732	Nc	ns	NR	nsf	PROPN	PROPN	ns	ns	LOC	ns	NR	士	616
22733	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	风	616
22734	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	景	616
22735	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	616
22736	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	地	616
22737	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	方	616
22738	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	616
22739	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	讲	616
22740	T	y	SP	y	VERB	PART	u	u	xc	y	SP	吧	616
22741	EXCLAMATIONCATEGORY	w	PU	wt	PUNCT	PUNCT	wp	w	w	w	PU	！	616
22742	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	w	PU	”	616
22743	VE	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	617
22744	VH	d	AD	d	ADV	ADV	d	d	d	d	AD	当	617
22745	VH	d	AD	d	ADV	ADV	d	d	d	d	AD	然	617
22746	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	617
22747	FW	v	VE	v	VERB	VERB	v	v	v	v	VE	没	617
22748	V_2	v	VE	v	VERB	VERB	v	v	v	v	VE	有	617
22749	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	Mg	PU	。	617
22750	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Mg	PU	”	617
22751	Na	n	NN	n	NOUN	VERB	n	n	n	n	NN	松	618
22752	Na	n	NN	n	NOUN	VERB	n	n	n	n	NN	树	618
22753	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	618
22754	Na	n	NN	n	NOUN	NOUN	n	n	n	vn	NN	树	618
22755	Na	n	NN	ng	NOUN	NOUN	n	v	n	vn	NN	行	618
22756	Ng	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	618
22757	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	618
22758	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	呈	618
22759	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	现	618
22760	VC	v	VV	vf	VERB	VERB	v	v	v	v	VV	出	618
22761	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	透	618
22762	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	明	618
22763	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	618
22764	PAUSECATEGORY	w	PU	wn	PUNCT	PUNCT	wp	w	w	w	PU	、	618
22765	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	形	618
22766	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	状	618
22767	Na	n	P	ng	PROPN	ADP	v	v	v	Ng	P	象	618
22768	Na	n	NN	n	PROPN	NOUN	n	n	n	n	NN	巨	618
22769	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	人	618
22770	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	身	618
22771	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	影	618
22772	Na	a	VA	uyy	ADJ	VERB	u	a	a	a	VA	一	618
22773	Na	a	VA	uyy	ADJ	VERB	u	a	a	a	VA	样	618
22774	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	618
22775	Na	n	JJ	n	NOUN	VERB	a	n	n	n	JJ	薄	618
22776	Na	n	NN	n	NOUN	VERB	a	n	n	n	NN	雾	618
22777	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	618
22778	Na	d	AD	d	ADV	ADV	d	d	d	d	LC	随	618
22779	Na	d	AD	d	ADV	ADV	d	d	d	d	LC	后	618
22780	D	d	AD	d	ADV	ADV	d	d	d	d	AD	又	618
22781	P	p	P	p	ADP	ADP	p	p	p	p	P	在	618
22782	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	绿	618
22783	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	荫	618
22784	Ncd	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	618
22785	VA	v	VV	vi	VERB	VERB	v	v	v	v	VV	消	618
22786	VA	v	VV	vi	VERB	VERB	v	v	v	v	VV	失	618
22787	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	618
22788	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	绿	618
22789	FW	n	NN	n	PROPN	NOUN	n	n	n	n	NN	荫	618
22790	VH	s	NN	s	PROPN	NOUN	nl	n	s	s	NN	深	618
22791	VH	s	NN	s	PART	NOUN	nl	n	s	s	NN	处	618
22792	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	618
22793	FW	z	AD	z	NOUN	ADV	z	a	ad	z	AD	隐	618
22794	FW	z	AD	z	NOUN	ADV	z	a	ad	z	AD	约	618
22795	VJ	v	VV	v	VERB	VERB	z	v	v	v	VV	透	618
22796	VJ	v	VV	vf	VERB	VERB	z	v	v	v	VV	出	618
22797	Neu	m	CD	m	NUM	NUM	m	n	m	m	CD	一	618
22798	Na	m	M	q	NOUN	NUM	q	n	m	q	M	块	618
22799	Na	n	VA	n	NOUN	ADJ	n	n	n	Ng	VA	银	618
22800	Na	n	VA	ag	NOUN	ADJ	n	n	n	k	VA	碧	618
22801	Na	n	VA	ng	PART	ADJ	n	n	n	k	VA	色	618
22802	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	618
22803	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	天	618
22804	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	空	618
22805	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	618
22806	Nh	r	PN	rr	PRON	PRON	r	r	v	r	PN	我	619
22807	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	知	619
22808	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	道	619
22809	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	619
22810	FW	v	AD	d	ADV	CCONJ	v	v	v	v	AD	还	619
22811	V_2	v	VE	vyou	VERB	CCONJ	v	v	v	v	VE	有	619
22812	FW	r	DT	rzv	VERB	DET	r	r	a	r	DT	别	619
22813	DE	r	DT	rzv	PART	DET	r	r	a	r	DT	的	619
22814	Na	n	NN	n	NOUN	NOUN	r	n	n	n	NN	书	619
22815	ETCCATEGORY	w	PU	ws	NOUN	PUNCT	wp	w	w	Bg	PU	…	619
22816	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	Bg	PU	…	619
22817	VG	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Bg	PU	”	619
22818	PARENTHESISCATEGORY	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	620
22819	P	p	BA	pba	ADP	X	p	v	p	p	BA	把	620
22820	Na	n	NN	n	NOUN	NOUN	p	v	n	n	NN	门	620
22821	Na	n	VV	v	NOUN	NOUN	p	v	n	v	VV	带	620
22822	Ncd	v	VV	vf	ADP	PART	p	v	f	f	VV	上	620
22823	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	620
22824	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	w	PU	”	620
22825	FW	v	VV	v	VERB	NOUN	v	v	v	v	VV	须	621
22826	VK	v	VV	v	VERB	NOUN	v	v	v	v	VV	知	621
22827	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	它	621
22828	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	告	621
22829	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	诉	621
22830	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	621
22831	FW	r	PN	rr	PRON	PRON	r	r	r	r	PN	们	621
22832	T	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	621
22833	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	621
22834	SHI	v	VC	vshi	VERB	VERB	v	vl	v	v	VC	是	621
22835	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	621
22836	VH	r	PN	rr	PRON	PRON	r	r	r	r	PN	们	621
22837	VH	v	VV	v	AUX	VERB	v	vu	v	v	VV	愿	621
22838	VH	v	VV	v	AUX	VERB	v	vu	v	v	VV	意	621
22839	VH	v	VV	v	VERB	VERB	v	v	vn	v	VV	听	621
22840	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	621
22841	Caa	c	CC	c	CCONJ	CCONJ	c	c	c	c	CC	或	621
22842	VH	v	VV	v	VERB	VERB	v	v	v	a	VV	爱	621
22843	VH	v	VV	v	VERB	VERB	v	v	v	a	VV	听	621
22844	T	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	621
22845	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	621
22846	Cbb	c	CS	c	ADP	SCONJ	c	c	c	c	CS	倘	622
22847	Cbb	c	CS	c	ADP	SCONJ	c	c	c	c	CS	若	622
22848	D	d	AD	d	ADV	ADV	d	d	d	d	AD	不	622
22849	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	让	622
22850	VH	r	DT	r	DET	DET	r	r	r	r	DT	这	622
22851	Na	r	M	r	NOUN	DET	r	r	r	r	M	种	622
22852	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	强	622
22853	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	度	622
22854	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	遭	622
22855	VJ	v	VV	v	VERB	VERB	v	v	v	v	VV	受	622
22856	Na	a	JJ	a	ADJ	NOUN	a	a	a	a	VA	过	622
22857	Na	a	JJ	a	ADJ	NOUN	a	a	a	a	VA	分	622
22858	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	622
22859	Na	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	试	622
22860	Na	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	验	622
22861	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	622
22862	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	622
22863	FW	d	AD	d	PROPN	ADV	d	d	d	d	AD	许	622
22864	Dfa	d	AD	d	NOUN	ADV	d	d	ad	d	AD	最	622
22865	VH	d	AD	d	NOUN	ADV	d	d	ad	d	AD	终	622
22866	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	凑	622
22867	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	合	622
22868	VA	u	AS	uzhe	PART	PART	u	u	u	u	AS	着	622
22869	D	d	AD	d	AUX	ADV	d	d	v	d	AD	就	622
22870	SHI	d	VC	vshi	AUX	ADV	d	d	v	v	VC	是	622
22871	Neu	m	CD	m	NUM	NUM	m	mq	m	m	CD	一	622
22872	Na	q	M	q	NOUN	NUM	m	mq	m	q	M	团	622
22873	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	黏	622
22874	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	土	622
22875	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	n	w	w	w	PU	—	622
22876	DASHCATEGORY	w	PU	wp	VERB	PUNCT	n	w	w	w	PU	—	622
22877	P	p	VV	p	VERB	ADP	p	p	p	p	VV	用	622
22878	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	它	622
22879	Dfa	d	AD	d	ADV	ADV	d	d	d	d	AD	更	622
22880	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	适	622
22881	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	于	622
22882	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	雕	622
22883	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	塑	622
22884	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	622
22885	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	门	623
22886	P	p	P	p	ADP	ADP	p	p	p	p	P	在	623
22887	VH	f	NN	f	NOUN	NOUN	nd	nl	f	f	LC	背	623
22888	VH	f	NN	f	NOUN	NOUN	nd	nl	f	f	LC	后	623
22889	D	v	VA	o	PART	VERB	o	o	xc	o	VA	砰	623
22890	DE	u	DEC	ude1	PART	PART	o	u	u	u	DEC	的	623
22891	Neu	m	CD	m	NUM	NUM	m	m	m	m	CD	一	623
22892	Na	q	M	qv	NOUN	NOUN	q	n	m	q	M	声	623
22893	Na	v	VV	v	VERB	VERB	v	v	v	n	VV	关	623
22894	Ncd	v	VV	v	VERB	VERB	v	v	v	f	VV	上	623
22895	T	y	AS	y	PART	PART	u	u	u	u	AS	了	623
22896	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	623
22897	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	624
22898	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	自	624
22899	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	己	624
22900	D	d	AD	d	ADV	ADV	d	a	d	d	AD	最	624
22901	D	d	AD	d	ADV	ADV	d	a	d	a	AD	好	624
22902	D	v	VV	v	AUX	VERB	v	vu	v	v	VV	能	624
22903	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	理	624
22904	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	解	624
22905	FW	r	DT	rzv	DET	DET	r	r	r	r	DT	这	624
22906	FW	m	CD	mq	NUM	NUM	m	mq	r	m	CD	一	624
22907	FW	m	M	mq	NOUN	NUM	m	mq	r	q	M	点	624
22908	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	624
22909	VC	v	VV	v	VERB	ADV	v	v	v	v	VV	看	625
22910	Na	v	VV	v	VERB	ADV	v	v	v	v	VV	来	625
22911	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	625
22912	Nb	n	NN	n	NOUN	NOUN	n	n	n	c	NN	糖	625
22913	Nb	n	NN	n	NOUN	NOUN	n	n	n	c	NN	纸	625
22914	Nb	p	P	p	ADP	ADP	p	p	p	p	P	对	625
22915	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	q	NR	米	625
22916	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	i	NR	拉	625
22917	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	i	NR	舍	625
22918	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	i	NR	维	625
22919	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	i	NR	奇	625
22920	Nb	u	MSP	uls	ADV	PART	u	v	v	u	MSP	来	625
22921	Nb	u	VV	uls	VERB	PART	u	v	v	u	VV	说	625
22922	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	625
22923	Neqa	d	AD	d	NUM	ADV	d	m	d	d	AD	多	625
22924	Neqa	d	AD	d	ADV	ADV	d	m	d	d	AD	半	625
22925	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	625
22926	A	b	JJ	b	ADJ	ADJ	b	a	a	b	AD	真	625
22927	A	b	JJ	b	ADJ	ADJ	b	a	a	b	AD	正	625
22928	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	625
22929	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	书	625
22930	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	625
22931	FW	v	VE	v	VERB	VERB	v	v	v	v	VE	没	625
22932	V_2	v	VE	v	VERB	VERB	v	v	v	v	VE	有	625
22933	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	日	625
22934	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	期	625
22935	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	625
22936	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	日	625
22937	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	记	625
22938	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	625
22939	VE	n	NN	v	NOUN	VERB	v	v	v	n	NN	幻	625
22940	VE	n	NN	v	NOUN	VERB	v	v	v	n	NN	想	625
22941	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	作	625
22942	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	品	625
22943	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	625
22944	Na	n	NN	n	NOUN	NOUN	n	n	n	an	NN	手	625
22945	Na	n	NN	n	NOUN	NOUN	n	n	n	an	NN	稿	625
22946	Caa	c	CC	cc	CCONJ	CCONJ	c	c	c	c	CC	和	625
22947	P	p	P	p	ADP	ADP	p	p	p	p	P	在	625
22948	FW	s	NN	n	NOUN	NOUN	n	nl	s	n	NN	纸	625
22949	Ncd	s	LC	f	NOUN	NOUN	n	nl	s	f	LC	上	625
22950	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	思	625
22951	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	考	625
22952	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	自	625
22953	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	己	625
22954	VC	n	NN	n	NOUN	NOUN	n	n	n	n	NN	哲	625
22955	VC	n	NN	n	NOUN	NOUN	n	n	n	n	NN	学	625
22956	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	思	625
22957	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	想	625
22958	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	625
22959	Na	m	CD	m	NUM	NUM	m	n	m	m	CD	一	625
22960	Na	q	M	q	NOUN	NUM	q	n	m	q	M	种	625
22961	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	方	625
22962	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	式	625
22963	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	625
22964	V_2	v	VE	vyou	VERB	VERB	v	v	v	v	VE	有	626
22965	Neqa	r	DT	ry	ADJ	DET	r	r	r	r	DT	哪	626
22966	Neqa	r	DT	ry	ADJ	DET	r	r	r	r	DT	些	626
22967	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	巫	626
22968	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	婆	626
22969	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	626
22970	FW	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	现	627
22971	P	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	在	627
22972	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	627
22973	P	p	P	p	NOUN	ADP	p	p	p	p	P	同	627
22974	Nh	r	PN	rr	NOUN	PRON	r	r	r	r	PN	我	627
22975	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	627
22976	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	血	627
22977	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	缘	627
