- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
сестра есть , так и сестра тоже . ||| 还 有 一 个 姐 姐 ， 也 一 样 。
выбрав хорошую минуту , я спрашиваю хозяина . ||| 我 找 到 一 个 好 机 会 ， 就 向 主 人 问 。
и все-таки в этой поэзии незамысловатого мещанского уюта , печного тепла , летней пыли , весенней грязи , вечернего мытья ног , чаепитий в саду под яблонькой слишком много связано с миром нечайска и столбенца ; когда их певец сам пытается обосноваться на правах литератора в столице , это , согласимся , придает несколько отвлеченный оттенок провозглашенному как будто в « откровении » обещанию вернуться . ||| 然 而 在 这 个 充 满 简 单 的 、 小 市 民 的 安 适 的 诗 意 中 ， 在 炉 火 融 融 、 夏 日 尘 土 飞 扬 和 春 天 泥 泞 不 堪 的 阵 意 中 ， 在 夜 晚 洗 脚 和 在 果 园 苹 果 树 下 喝 茶 的 诗 意 中 ， 有 着 与 涅 柴 斯 克 和 斯 托 尔 涅 兹 的 世 界 千 丝 万 缕 的 联 系 ； 当 它 们 的 讴 歌 者 试 图 以 作 家 的 身 份 在 首 都 定 居 时 ， 这 就 使 好 像 在 《 神 启 录 》 中 宣 布 回 归 的 约 言 具 有 了 抽 象 色 彰 。
инстинкт книжника приучил семеку не выдавать подлинного интереса , он лишь вспомнил к слову сюжет-другой из милашевича , и можно поверить ему , со вкусом — несколько брошюрок не просто имелись в его коллекции , но читались и были ценимы . ||| 图 书 专 家 的 本 能 使 谢 梅 卡 养 成 不 显 露 真 实 兴 趣 的 习 惯 ， 他 只 是 顺 便 回 忆 起 米 拉 舍 维 奇 作 品 中 的 另 一 些 情 节 ， 并 且 可 以 相 信 ， 他 很 有 鉴 赏 力 ， 在 他 的 藏 品 中 米 拉 舍 维 奇 的 一 些 小 册 子 不 只 是 占 有 一 席 之 地 ， 而 且 拜 读 过 ， 十 分 珍 惜 。
собирались на кладбище , вырывали из могил мертвецов , которые еще свежие , варили как мясо , а потом от этой еды дурели , ну , знаешь , допьяна , и плясать пускались , вытворяли всякие безобразия , пока сами не падали мертвые . ||| 他 们 聚 在 墓 地 里 ， 从 墓 穴 里 刨 出 还 新 鲜 的 尸 体 ， 像 肉 那 样 炖 了 ， 吃 过 之 后 一 个 个 全 晕 晕 乎 乎 的 ， 您 知 道 ， 醉 了 ， 而 且 马 上 跳 起 舞 来 ， 于 出 各 种 丑 事 ， 直 到 倒 下 死 去 。
едва выбравшись из передряги , не успев привести в порядок своих дел , не прочувствовав даже толком потрясения от удара о реальность , антон лизавин потянулся в библиотечный каталог , как будто и на новую службу переместился именно для того , чтобы поскорее , поскорее узнать , вспомнить , называлась ли в той книге фамилия женщины . ||| 安 东 · 利 扎 温 刚 从 急 剧 的 变 化 中 挣 脱 出 来 ， 还 未 来 得 及 使 自 己 的 事 情 转 人 正 轨 ， 甚 至 还 没 有 好 好 体 验 因 现 实 生 活 所 受 的 打 击 而 引 起 的 震 惊 ， 就 被 挂 在 了 图 书 馆 的 卡 片 目 录 上 ， 仿 佛 他 调 到 新 的 工 作 岗 位 上 正 是 为 了 尽 快 了 解 、 记 起 和 叫 出 那 本 书 上 女 人 的 姓 名 。
если перевести его рассуждения на современный язык , эта способность по-разному откликаться на хорошее и плохое , приятное и неприятное вообще отличала живое от неживого . ||| 倘 若 将 他 的 议 论 译 成 现 代 语 言 ， 这 种 能 力 能 对 好 与 坏 、 可 爱 与 不 快 作 出 不 同 反 应 ， 总 之 能 分 辨 鲜 活 的 和 了 无 生 气 的 。
будильник , который еще можно было завести и слушать сколько угодно , держа трепещущее тельце в руках , наблюдая , как поворачивается на его затылке кольцо . ||| 还 可 以 上 发 条 和 听 到 声 音 的 闹 钟 ， 曾 多 少 次 它 那 微 微 颤 动 的 小 身 子 被 你 放 在 手 里 看 着 指 针 一 个 又 一 个 地 转 圈 。
на выпивку собирал , конечно , вон какая рожа опухшая . ||| 当 然 他 乞 到 了 酒 喝 ， 你 看 那 张 脸 肿 成 什 么 样 。
по-гимназически , зажав в кулаке рецепт , ипполит матвеевич торопливо вышел на улицу . ||| 伊 波 里 特 像 中 学 生 一 样 ， 手 里 紧 攥 着 药 方 ， 急 匆 匆 地 来 到 街 上 。
он удачно сплавлял их на московской черной бирже ; потом оказалось , что его дедушка , известный валютчик , покупал их в киеве и совершенно разорился , потому что доллары были все-таки фальшивые . ||| 他 在 莫 斯 科 的 黑 市 上 顺 利 地 脱 了 手 ; 可 后 来 才 知 道 ， 他 爷 爷 ， 一 个 出 名 的 非 法 倒 汇 者 ， 在 基 辅 把 它 们 买 了 去 ， 结 果 彻 底 破 了 产 ， 因 为 那 些 美 元 毕 竟 是 假 的 。
– сейчас , сейчас и до ордеров доберемся . ||| “ 马 上 ， 咱 们 马 上 就 能 找 到 单 据 。
фамилия инженера была треухов . ||| 工 程 师 姓 特 列 乌 霍 夫 。
он не существует . ||| 他 无 以 安 身 立 命 。
– да , – сказал остап , – со мной тоже был такой случай . ||| “ 是 啊 ， ” 奥 斯 塔 普 说 ， “ 我 也 有 这 么 一 回 ，
оркестр с небольшими перерывами исполнял штрауса , брамса и грига . ||| 乐 队 带 有 不 大 的 间 歇 演 奏 着 施 特 劳 斯 、 勃 拉 姆 斯 和 格 里 格 的 乐 曲 。
– не корысти ради , – сказал отец федор брандмейстеру , – а токмо… ||| “ 不 为 私 利 ， ” 费 多 尔 神 父 对 消 防 队 长 说 ， “ 只 为 了 … … ”
художник со « скрябина » ! ||| ‘ 斯 克 里 亚 宾 ’ 号 上 的 那 位 画 家 ！
у фросеньки уж и племянник завелся . ||| 弗 罗 霞 这 回 捡 了 笑 得 比 谁 都 厉 害 ！
то , что я ощущал , было так ново и так сладко ... ||| 我 的 感 觉 是 那 么 新 奇 ， 那 么 甜 蜜 ，
ее грудь дышала возле моей , ее руки прикасались моей головы , и вдруг - что сталось со мной тогда ! - ее мягкие , свежие губы начали покрывать всё мое лицо поцелуями ... они коснулись моих губ ... ||| 她 的 胸 脯 就 在 我 身 旁 起 伏 着 ， 她 的 双 手 抚 摸 着 我 的 头 ， 忽 然 - - 那 时 我 交 上 好 运 啦 ！ - - 她 那 柔 软 鲜 艳 的 嘴 唇 在 我 的 整 个 脸 上 狂 吻 起 来 … … 她 的 嘴 唇 合 在 我 的 嘴 唇 上 … …
он бросил весла , приник головой к муму , которая сидела перед ним на сухой перекладинке - дно было залито водой - и остался неподвижным , скрестив могучие руки у ней на спине , между тем как лодку волной помаленьку относило назад к городу . ||| 他 丢 开 桨 朝 着 木 木 俯 下 头 去 ， 木 木 正 坐 在 他 前 面 一 块 干 的 坐 板 上 （ 船 底 积 满 了 水 ） ， 动 也 不 动 一 下 ， 他 把 他 那 两 只 气 力 很 大 的 手 交 叉 地 放 在 “ 她 ” 的 背 上 ， 在 这 时 候 ， 浪 渐 渐 地 把 小 船 朝 城 市 的 方 向 冲 回 去 。
разве можно быть этак с женщиной невежливым , африкан семеныч ? ||| 难 道 对 女 人 可 以 这 样 不 讲 礼 貌 吗 ， 阿 夫 里 康 · 谢 苗 内 奇 ？ ”
они тем более выступают наружу , что сам он не мелкий человек . ||| 这 些 缺 点 之 所 以 格 外 明 显 ， 是 因 为 他 不 是 个 平 庸 之 辈 。 ”
он вдруг умолк и направился к двери . ||| 他 突 然 歇 了 嘴 ， 朝 门 口 走 去 。
— отец у меня золотой человек . ||| “ 我 父 亲 可 是 个 金 不 换 。 ”
все молчит , хоть бы побранил нас с тобою ; худеет , цвет лица такой нехороший » . ||| 他 不 作 声 — — 骂 我 们 一 顿 也 好 呀 ！ 人 呢 ， 一 天 比 一 天 瘦 ， 脸 色 一 天 比 一 天 难 看 。 ”
— их ... габе ... 5 ||| “ 伊 赫 … … 哈 别 ④ … … ④ 德 语 I c h h a b e （ 我 曾 经 ） 的 音 读 。
анна сергеевна уехала туда же тотчас после свадьбы , щедро наделив молодых . ||| 安 娜 · 谢 尔 盖 耶 芙 娜 给 了 年 轻 人 丰 厚 的 馈 赠 。 婚 礼 一 结 束 ， 她 便 上 莫 斯 科 去 了 。
по-вашему , они молодцы , не правда ли ? ||| 依 您 看 来 ， 他 们 是 好 样 儿 的 ， 对 吗 ？ ”
— ступай за нами , ступай ! ||| “ 跟 着 我 们 ， 跟 在 后 面 ！ … … ”
что делать ! ||| 有 什 么 法 子 呢 ！
– и потому каждый год пристаешь ко мне с этим глупым разговором , – хмыкнула медея . ||| “ 所 以 你 每 年 都 要 和 我 纠 缠 ， 反 复 提 这 个 愚 蠢 的 话 题 。 ” 美 狄 娅 不 以 为 然 地 哼 了 一 阵 说 。
– хорошо , – неожиданно легко согласилась медея , и они вышли вдвоем из беленых ворот санатория , миновали автовокзал и свернули в тихую улицу , заселенную железнодорожниками с тех самых пор , как к городу подвели железную дорогу . ||| “ 好 吧 。 ” 美 狄 娅 居 然 轻 松 地 答 应 了 他 。 他 们 一 起 走 出 疗 养 院 的 白 色 大 门 ， 经 过 长 途 汽 车 站 ， 拐 进 一 条 僻 静 的 小 街 。 自 从 市 里 接 通 了 铁 路 ， 这 条 街 就 成 为 铁 路 职 工 居 住 区 。
– ладно , валера , не бзди , для тебя , по твоему возрасту , и второе место будет неплохо . ||| - - -
он сложил перед собой специально-врачебные , профессиональные руки и начал : ||| 他 把 职 业 医 生 的 双 手 叠 到 自 己 胸 前 ， 说 了 起 来 ：
– а закурить у тебя не найдется ? ||| “ 你 这 儿 有 抽 的 没 有 ？ ”
невозможно было смириться с той умелькнувшей минутой , когда совершенно живая девочка самочинно выпорхнула в низкогудящий водоворот медлительных снежинок – прочь из жизни ... ||| 怎 能 容 忍 这 一 闪 即 逝 的 瞬 间 ： 潮 湿 的 雪 花 缓 慢 飞 舞 ， 活 生 生 的 女 孩 子 竟 然 纵 身 投 入 它 那 呜 呜 低 咽 的 旋 涡 之 中 — — 离 开 生 活 远 去 . . . . . .
женщина заплакала и часто-часто закивала , но то , что доктор принял за надежду в ее глазах , было не надеждой , а благодарностью той , которая ее услышала , пришла к ее сыну и дала ему руку . ||| 女 人 哭 了 起 来 ， 频 频 点 头 ， 医 生 在 她 眼 里 看 到 了 那 种 他 认 为 是 希 望 的 东 西 ， 实 际 上 那 不 是 希 望 ， 而 是 对 圣 母 的 感 激 ， 圣 母 听 见 了 她 的 声 音 ， 到 她 的 儿 子 身 边 去 了 ， 向 他 伸 出 拯 救 之 手 。
-- хлопнув себя по колену , стрелок вскочил и направился во двор . -- куда она полетела ? ||| 羿 在 膝 上 一 拍 ， 即 刻 站 起 ， 走 出 屋 外 去 ， 回 头 问 着 女 辛 道 ， 那 边 “
но вскоре ее история наскучила всем , даже сердобольным старушкам , то и дело поминавшим будду . ||| 但 不 久 ， 大 家 也 都 听 得 纯 熟 了 ， 便 是 最 慈 悲 的 念 佛 的 老 太 太 们 ， 眼 里 也 再 不 见 有 一 点 泪 的 痕 迹 。
чжиу так и не ответил на вопрос учителя чжана , а лицо его приобрело еще более надменное выражение . ||| 何 志 武 依 然 不 回 答 张 老 师 的 问 题 ， 脸 上 的 表 情 更 加 傲 慢 。
я ответил , что во всем виновата моя злая судьба , раз попал я в такое место , если бы попал в полевую армию , так , может , уже и офицером стал бы , кто знает . ||| 我 说 ： 都 怨 我 命 运 不 济 ， 分 配 到 这 么 个 单 位 。 如 果 在 野 战 军 里 ， 没 准 我 已 经 提 了 干 。
большеротый учитель лю махал раскаленным докрасна крюком у меня перед лицом , требовал , чтобы я признался в содеянном . ||| 刘 大 嘴 老 师 将 烧 红 的 炉 钩 子 举 到 我 面 前 摇 晃 着 ， 要 我 坦 白 交 代 。
она великодушно разрешила привезти лу вэньли сюда , мол , хочешь – сочетайся с ней законным браком , хочешь – сделай своей любовницей . ||| 你 嫂 子 慷 慨 大 度 地 说 ： 你 把 她 接 来 吧 ， 想 明 媒 正 娶 也 行 ， 想 包 做 二 奶 也 行 。
он подумал и сказал : – мы с тобой старые знакомые , так и быть , дам тебе пять му славной землицы . и не обманул . ||| 他 想 一 想 说 ： “ 我 们 是 老 相 识 了 ， 我 给 你 五 亩 好 田 。 ” 龙 二 还 是 讲 点 交 情 的 ， 他 真 给 了 我 五 亩 好 田 。
теперь ему утром опять приходилось рано вставать и срезать для ягненка траву , да еще прибавилась работа в огороде . и в школу он опять носился бегом . ||| 家 里 有 了 羊 ， 有 庆 每 天 又 要 跑 着 去 学 校 了 ， 除 了 给 羊 割 草 ， 自 留 地 里 的 活 他 也 要 多 干 。
я пошел дальше , чтоб не видеть , как его зарежут . ||| 我 不 忍 心 看 它 被 宰 掉 ， 便 离 开 晒 场 继 续 往 新 丰 去 。
за год он худо-бедно накопил тридцать два даяна . все время носить такие деньги с собой было неудобно , поэтому он принял решение завтра же покинуть чжанцзякоу и отправиться в родную провинцию шаньдун . ||| 一 年 之 中 ， 十 文 钱 十 文 钱 凑 起 来 ， 也 赚 了 三 十 二 块 大 洋 七 ， 老 带 在 身 上 也 不 便 ， 便 想 明 天 离 开 口 外 ， 回 一 趟 山 东 老 家 。
ню цайюнь кивнула . похоже , она была в полной боеготовности . ||| 牛 彩 云 似 乎 胸 有 成 竹 地 点 点 头 。
– что , тоже развлекаешься ? ||| “ 你 也 玩 现 了 吧 ？ ”
– дядюшка , попробуй еще разок , у меня дело срочное ! ||| “ 大 爷 ， 再 试 一 次 吧 ， 事 情 很 急 呀 ！ ”
когда они уже заехали на четвертое кольцо , фэй мо вдруг стал бухтеть : ||| 等 车 上 了 四 环 路 ， 费 墨 果 然 开 始 迁 怒 了 ：
как-то вечером , почувствовав себя неважно , он сбежал с банкета пораньше . перешагнув порог дома , он не сразу увидел юй вэньцзюань , лишь направившись в спальню , чтобы прилечь , он вдруг заметил на кровати сидящую к нему спиной юй вэньцзюань . ||| 那 天 晚 上 ， 严 守 一 在 外 边 吃 饭 ， 突 然 感 到 胃 有 些 不 舒 服 ， 便 提 前 离 席 回 家 。
янь шоуи испугался , что звонит у юэ , которая могла подумать , что он до сих пор нарезает круги по городу . скрывая свое напряжение , янь шоуи вынул из кармана телефон и , даже не глядя на экран , стал выказывать раздражение : ||| 严 守 一 害 怕 是 伍 月 打 来 的 ， 以 为 他 还 开 着 车 在 外 边 兜 圈 呢 ， 于 是 一 边 掩 饰 内 心 的 恐 慌 ， 一 边 从 兜 里 掏 出 手 机 ， 看 也 不 看 ， 故 意 作 出 烦 恼 的 样 子 ：
после обеда во дворе закипела работа . ||| 下 午 院 子 里 开 始 动 工 。
– у юэ ? ||| “ 是 伍 月 吧 ？ ”
конечно , хоть пять лет высматривай , но всё же в конце концов ошибешься и купишь совсем не то , о чем мечтал . ||| 当 然 啦 ， 你 哪 怕 物 色 五 年 ， 到 头 来 还 会 出 错 ， 买 下 的 和 想 要 的 完 全 不 是 一 码 事 。
всё это похвально , но позвольте , однако же , как же этот приятель , который вам такие страсти рассказывал ... ведь ему переменили же наказание , стало быть , подарили же эту `` бесконечную жизнь '' . ||| 这 一 切 是 值 得 称 赞 的 。 但 是 ， 话 说 说 ， 对 您 讲 了 这 样 可 怕 的 遭 遇 的 这 位 朋 友 怎 么 啦 … … 不 是 对 他 改 了 刑 罚 ， 也 就 是 赐 予 他 ‘ 无 穷 尽 的 生 命 ' 了 吗 ？
все засмеялись . ||| 大 家 笑 了 起 来 。
лицо у него было мясистое и румяное , губы толстые , нос широкий и сплюснутый , глаза маленькие , заплывшие и насмешливые , как будто беспрерывно подмигивающие . ||| 他 的 脸 胖 墩 墩 ， 红 朴 朴 ， 嘴 唇 厚 厚 的 ， 鼻 子 又 。 大 又 扁 ， 一 双 小 眼 睛 胖 成 一 条 缝 ， 仿 佛 不 停 地 一 眨 一 眨 似 的 ， 流 露 出 嘲 讽 的 神 情 。
ну вот , теперь шубу уронил , олух ! ||| 嘿 ， 瞧 现 在 报 皮 大 衣 掉 地 上 了 ， 傻 子 ！ ”
а петрович по уходе его долго еще стоял , значительно сжавши губы и не принимаясь за работу , будучи доволен , что и себя не уронил , да и портного искусства тоже не выдал . ||| 而 彼 得 罗 维 奇 呢 ， 在 他 走 了 之 后 ， 还 站 了 好 一 会 儿 ， 意 味 深 长 地 撇 着 嘴 ， 没 有 动 手 干 活 ， 因 为 他 挺 得 意 的 ： 既 保 持 了 自 己 的 体 面 ， 又 没 有 作 践 裁 缝 的 手 艺 。
может , его чертежником сделают . ||| 说 不 定 他 会 成 一 个 绘 图 师 。 ”
потом , добродушно усмехаясь , сказал : — настойчив ты , чёрт тебя возьми ! ||| 接 着 ， 他 和 气 地 笑 了 一 笑 说 ： “ 你 这 小 伙 子 真 倔 强 ， 拿 你 有 什 么 办 法 呀 。
о чем я ? ||| 我 说 什 么 了 ？
единомышленница . ||| 志 同 道 合 者 。
опять лизавину приходилось что-то заглаживать , сочувствуя чужой растерянности и уязвленности , непонятной , но всегда почему-то вызывающей симпатию . ||| 利 扎 温 又 不 得 不 改 个 什 么 话 题 。
стремление к свободе неизбежно трагично , как стремление к истине , к совершенству , как трагична неизбежная смерть . ||| 对 自 由 的 渴 望 不 可 避 免 的 是 一 场 悲 剧 ， 如 同 对 真 理 、 对 完 美 的 渴 望 ， 如 同 不 可 避 免 的 死 亡 都 是 一 场 悲 剧 一 样 。
когда поезд прорезает стрелку , на полках бряцают многочисленные чайники и подпрыгивают завернутые в газетные кульки цыплята , лишенные ножек , с корнем вырванных пассажирами . ||| 列 车 驶 过 岔 道 时 ， 行 李 架 上 无 数 的 茶 壶 便 丁 丁 当 当 地 响 个 不 停 ， 裹 在 报 纸 里 的 ， 被 连 根 拔 掉 大 腿 的 童 子 鸡 也 直 往 上 跳 。
дальневосточный курьер огибает байкал , полным ходом приближаясь к тихому океану . ||| 远 东 特 快 绕 过 贝 加 尔 湖 往 太 平 洋 方 向 全 速 飞 奔 。
добившись так быстро своей цели , гость проворно спустился в дворницкую , снял апельсинные штиблеты и растянулся на скамейке , обдумывая план действий на завтра . ||| 客 人 一 看 ， 这 么 快 便 达 到 了 目 的 ， 便 很 快 溜 进 门 房 ， 脱 下 皮 鞋 ， 在 长 椅 上 伸 展 开 身 子 ， 考 虑 着 来 日 的 行 动 计 划 。
оба ушли в квартиру полесова , где остап , сидя на обломке ворот дома № 5 по перелешинскому переулку , стал развивать перед оторопевшим кустарем-одиночкою с мотором фантасмагорические идеи , клонящиеся к спасению родины . ||| 两 人 到 了 波 列 索 夫 的 住 处 ， 奥 斯 塔 普 坐 在 佩 列 列 申 斯 基 胡 同 5 号 大 铁 门 的 废 旧 零 件 上 ， 对 手 足 无 措 、 靠 一 台 发 动 机 做 活 的 单 干 户 信 口 开 河 ， 大 谈 特 谈 救 国 之 道 。
– как же большевики будут воевать ? ||| “ 布 尔 什 维 克 怎 么 去 打 仗 ？
цветники в глиняных горшочках заполняли подоконники . ||| 窗 台 上 摆 满 了 栽 在 陶 制 花 盆 里 的 盆 花 。
я узнаю их по оттенку . ||| 我 是 根 据 它 的 色 泽 看 出 来 的 。
а запишись ты лучше в друзья детей . ||| 你 最 好 去 登 记 作 ‘ 儿 童 之 友 ’ 。
– ну , ничего , я на него напущу изобретателя вечного движения , он у меня попрыгает » . ||| “ 没 关 系 ， 我 也 会 给 你 找 个 不 停 制 造 麻 烦 的 家 伙 ， 让 你 永 远 不 得 安 宁 。 ”
я согласен на развод . ||| 我 同 意 离 婚 。 ”
агафья тихоновна зевнула и , не обращая внимания на виртуоза-вздыхателя , пошла спать . ||| 阿 加 菲 娅 ? 吉 洪 诺 夫 娜 打 了 个 哈 欠 ， 也 不 顾 她 的 超 级 倾 慕 者 ， 径 自 回 房 睡 觉 去 了 。
но какой дурак дал вам три рубля , хотел бы я знать ? ||| 不 过 我 倒 很 想 知 道 ， 是 哪 个 傻 瓜 竟 给 了 您 三 卢 布 ？
два дня он восторженно слонялся у брунсовой дачи , издали раскланивался с мусиком и даже время от времени оглашал тропические дали криками : ||| 一 连 两 天 他 都 兴 奋 不 已 地 徘 徊 在 布 伦 斯 别 墅 附 近 ， 远 远 的 就 向 穆 西 克 施 礼 问 候 ， 有 时 甚 至 还 放 开 喉 咙 ， 发 出 几 声 响 彻 这 热 带 天 际 的 高 喊 ：
– отдай колбасу ! – взывал остап . ||| “ 把 香 肠 还 回 来 ！ ” 奥 斯 塔 普 喊 叫 着 。
жива ли , нет ли , бог ее ведает . ||| 她 活 着 ， 还 是 死 了 ， 天 晓 得 ！
матушка моя вела печальную жизнь : беспрестанно волновалась , ревновала , сердилась - но не в присутствии отца ; она очень его боялась , а он держался строго , холодно , отдаленно ... я не видал человека более изысканно спокойного , самоуверенного и самовластного . ||| 我 母 亲 过 着 痛 苦 的 日 子 ： 她 经 常 激 动 、 妒 忌 、 生 气 - - 不 过 那 是 在 父 亲 不 在 场 的 时 候 ， 她 很 怕 他 ， 他 严 厉 、 冷 淡 、 难 以 接 近 … … 我 没 有 见 过 比 他 更 镇 定 自 若 、 更 自 信 和 专 横 的 人 了 。
прочтите мне « на холмах грузии » . только сядьте сперва . ||| 请 您 给 我 朗 诵 《 在 格 鲁 吉 亚 的 山 冈 上 》 ， 不 过 您 先 坐 下 。 ”
— я для вас ребенок , — перебил я ее . ||| “ 我 在 您 的 心 目 中 只 是 个 孩 子 ， ” 我 打 断 了 她 的 话 头 。
может быть , всё обойдется благополучно . я только хотел доказать вам , что если я сужу о нем строго , так не потому , что его не знаю ... ||| 也 许 ， 一 切 会 顺 利 过 去 的 ， 我 只 是 想 向 您 证 明 ， 如 果 我 对 他 的 评 价 过 于 苛 刻 的 话 ， 那 并 不 是 因 为 我 不 了 解 他 … …
— а отчего бы вы за него не пошли ? ||| “ 为 什 么 不 愿 嫁 他 呢 ？ ”
во всяком случае , долго вы скучать не будете . ||| 即 使 寂 寞 ， 也 只 不 过 寂 寞 一 时 。 ”
он нанял было дом у таврического сада и записался в английский клуб , но внезапно умер от удара . ||| 他 本 打 算 在 塔 夫 里 斯 基 花 园 附 近 租 幢 房 子 ， 并 且 加 入 英 国 俱 乐 部 ④ ， 不 料 突 然 中 风 ， 离 世 而 去 。 I ④ 这 是 富 翁 、 世 袭 地 主 、 大 官 僚 才 能 够 加 入 的 俱 乐 部 。 I
выслушав подобную речь , базаров однажды презрительно пожал плечами и отвернулся , а мужик побрел восвояси . ||| 听 过 诸 如 此 类 的 话 ， 巴 扎 罗 夫 轻 蔑 地 耸 耸 肩 ， 掉 头 走 了 ， 农 民 也 去 干 他 自 己 的 活 儿 。
эта последняя фраза , видимо , не понравилась базарову ; от нее веяло философией , то есть романтизмом , ибо базаров и философию называл романтизмом ; но он не почел за нужное опровергать своего молодого ученика . ||| 对 最 后 一 句 话 巴 扎 罗 夫 不 喜 欢 ， 因 为 有 股 哲 学 味 儿 ， 也 就 是 说 浪 漫 主 义 的 气 息 ， — — 他 把 哲 学 也 算 作 浪 漫 主 义 ， — — 但 他 不 认 为 有 训 斥 年 轻 弟 子 的 必 要 。
– да разве не все одинаковые ? – изумилась ника . – разве эти чем-нибудь отличаются от кати с артюшей или от нас маленьких ? ||| “ 难 道 他 们 跟 阿 尔 乔 姆 和 卡 佳 ， 或 者 跟 我 们 ， 跟 我 们 小 的 时 候 ， 有 什 么 区 别 吗 ？ ” 尼 卡 奇 怪 不 解 地 问 。
« скорая » пришла через семь минут . ||| 救 护 车 在 七 分 钟 之 后 赶 到 了 。
сил у него было мало . ||| 他 的 力 气 很 少 。
– как он не понимает , – сокрушалась леночка , – отец мой был членом крымского правительства , и об этом ни в одной анкете не сказано . а чем выше поднимаешься , тем больше на виду ... ||| - - -
– найдется , – ответила она , приземляясь хрупкой ступней на дощатый пол . ||| “ 有 。 ” 她 光 光 的 小 脚 掌 随 即 落 到 了 地 板 上 。
от анастасии остался сын роберт , неженатый , кажется , слегка тронутый . ||| 阿 纳 斯 塔 西 娅 有 个 儿 子 叫 罗 伯 特 ， 没 结 婚 ， 脑 子 似 乎 有 点 儿 毛 病 。
– черт-те что ! звучишь как в фонендоскопе ! ||| “ 真 厉 害 呀 ！ 像 在 听 诊 器 里 那 样 跳 动 ！ ”
потом наконец принесли ребенка . ||| 后 来 ， 婴 儿 终 于 送 回 来 了 。
« значит , и ты тоже ! » ||| 原 来 也 有 你 ！
около полудня , после того как мы проехали уезд тун , мы попали в пекин и оказались на проспекте чанъань , техник чжан разошелся не на шутку , и старенький « газ » помчался быстрее , чем легковушки . ||| 中 午 时 分 ， 由 通 县 驶 入 北 京 ， 驶 上 长 安 大 街 后 ， 章 技 师 撒 了 野 ， 我 们 的 老 嘎 斯 跑 得 比 那 些 小 轿 车 还 快 。
в университетах вновь набирают студентов , в деревнях с владельцев земель и зажиточных крестьян поснимали ярлыки , крестьяне стали питаться лучше , а скот , принадлежавший производственным бригадам , тоже потучнел . ||| 大 学 又 开 始 考 试 招 生 了 ， 农 村 里 地 主 、 富 农 的 帽 子 也 摘 了 ， 农 民 家 的 粮 食 多 了 ， 生 产 队 里 的 牛 也 胖 了 。
в школе тогда меня сочли главным подозреваемым и очень долго допрашивали . ||| 当 时 ， 学 校 也 把 我 当 做 重 点 怀 疑 对 象 ， 盘 查 讯 问 了 许 久 。
без сомнения , он был совершенно прав . ||| 这 想 法 无 疑 是 十 分 正 确 的 。
мальчик радостно кивнул . я постучал кольцом в дверь , и через мгновение раздался голос : – иду . ||| 小 孩 高 兴 地 点 点 头 ， 我 就 扣 住 铜 环 使 劲 敲 了 几 下 ， 里 面 有 人 答 应 ： “ 来 啦 。 ”
наконец подошел к нам , вытянул четыре пальца и объяснил : – знаю четверых . ||| 过 了 一 会 ， 他 站 住 了 ， 来 回 张 望 了 几 下 ， 才 朝 我 们 走 来 。 走 近 了 他 向 我 和 春 生 伸 出 四 根 指 头 ， 摇 着 头 说 ： “ 有 四 个 ， 我 认 识 。 ”
цзячжэнь ворчала , что я слишком долго не возвращаюсь . ||| 回 到 家 里 ， 家 珍 总 是 埋 怨 我 去 得 太 久 。
тут у юэ обратилась к янь шоуи : ||| 这 时 伍 月 说 ：
только сейчас он понял , что , оказывается , все в этом мире делается с определенной целью . и даже если сначала определенной цели нет , то постепенно она все равно появляется . ||| 直 到 现 在 他 才 明 白 ， 世 界 上 的 事 情 ， 原 来 都 有 目 的 ； 就 是 原 来 没 目 的 ， 渐 渐 也 会 演 变 出 目 的 。
в кабинете никто не решался засмеяться , зато янь шоуи , который уже выбежал за дверь , прикрывшись рукой , прыснул . ||| 屋 里 的 人 不 敢 笑 ， 严 守 一 在 门 外 偷 偷 捂 着 嘴 笑 了 。
шэнь сюэ кричала вместе со всеми , да и янь шоуи не оставался в стороне . ||| 沈 雪 也 兴 奋 地 跟 人 喊 。 严 守 一 也 随 声 附 和 。
– ведь это она отправила такое сообщение , а не я. откуда мне знать , что она имела в виду ? ||| “ 这 是 她 发 的 ， 又 不 是 我 发 的 ， 我 知 道 什 么 意 思 ？ ”
заметив , что настроение у шэнь сюэ так себе и что атмосфера накаляется , янь шоуи решил первым завести разговор : ||| 这 时 严 守 一 发 现 沈 雪 情 绪 有 些 不 对 ， 车 里 的 气 氛 有 些 沉 闷 ， 他 便 故 意 没 话 找 话 ：
тут только лао ню вспомнил , что этот звонок заказывали янь шоуи и люй гуйхуа . он неохотно протянул трубку люй гуйхуа : ||| 老 牛 这 时 才 想 起 打 电 话 的 是 严 守 一 和 吕 桂 花 ， 不 情 愿 地 把 话 筒 交 给 吕 桂 花 ：
– гигант , я же не боюсь , чего ты испугался ? ||| “ 大 东 西 ， 我 都 不 怕 ， 你 怕 什 么 ？ ”
звали его ли инъюн . ||| 李 雪 莲 的 弟 弟 叫 李 英 勇 。
